Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Rectangle_scrambled;4;100 25;82808;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
1;Vehicle;4;10;59583;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
2;MoneyClass;4;1,4;56110;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
3;Student;4;26;20534;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
4;Calculation;4;16;93079;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
5;Street;4;15;35278;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
6;SignChecker_scrambled;4;positive null;74220;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
7;CheckIfLettersOnly;4;No;126226;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
8;InsertSort;4;7 5 4 3;163419;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1
9;SumArray_scrambled;4;23;42507;False;4b43c5df-62cc-43ee-ac12-cb8dc212cdc1

